Country,Location,Year,Month,Hour,Datum,Status Mission,Price_launch,Company,Model,Serie,Cargo,Price,Status Rocket,Status,Liftoff Thrust,Stages,Strap-ons,Rocket Height,Fairing Diameter,Fairing Height,Payload to LEO,Payload to GTO,Wiki
Russia,"Site 16/2, Plesetsk Cosmodrome, Russia",1982,3,16,1982-03-31 16:27:00+00:00,Success,,RVSN USSR,Vostok-2M,Vostok,Cosmos 1346,,StatusRetired,Retired,,3,4,,,,0.0,0.0,https://en.wikipedia.org/wiki/Vostok-2M
Russia,"Site 132/2, Plesetsk Cosmodrome, Russia",1982,3,9,1982-03-31 09:00:00+00:00,Success,,RVSN USSR,Cosmos-3M (11K65M),Cosmos,Cosmos 1345,,StatusRetired,Retired,1485,2,0,32.0,2.4,,1.5,0.0,https://en.wikipedia.org/wiki/Kosmos-3M
Russia,"Site 32/1, Plesetsk Cosmodrome, Russia",1982,3,9,1982-03-25 09:50:00+00:00,Success,,RVSN USSR,Tsyklon-3,Tsyklon,Meteor-2 n†­8,,StatusRetired,Retired,3032,3,0,39.0,,,4.1,0.0,https://en.wikipedia.org/wiki/Tsyklon-3
Russia,"Site 132/1, Plesetsk Cosmodrome, Russia",1982,3,9,1982-03-24 09:47:00+00:00,Success,,RVSN USSR,Cosmos-3M (11K65M),Cosmos,Cosmos 1344,,StatusRetired,Retired,1485,2,0,32.0,2.4,,1.5,0.0,https://en.wikipedia.org/wiki/Kosmos-3M
Russia,"Site 41/1, Plesetsk Cosmodrome, Russia",1982,3,0,1982-03-24 00:12:00+00:00,Success,,RVSN USSR,Molniya-M /Block ML,Molniya,Molniya-3 n†­98,,StatusRetired,Retired,4016,3,4,43.4,,7.81,0.0,0.0,https://en.wikipedia.org/wiki/Molniya-M
USA,"LC-39A, Kennedy Space Center, Florida, USA",1982,3,16,1982-03-22 16:00:00+00:00,Success,450.0 ,NASA,Space Shuttle Columbia,Space Shuttle,STS-3,450.0,StatusRetired,Retired,30250,2,2,56.1,,,27.5,3.81,https://en.wikipedia.org/wiki/Space_Shuttle_Columbia
USA,"SLC-40, Cape Canaveral AFS, Florida, USA",1982,3,19,1982-03-06 19:25:00+00:00,Success,,Martin Marietta,Titan III(23)C,Titan,DSP-10,,StatusRetired,Retired,13642,3,2,42.0,3.0,,13.1,3.0,https://en.wikipedia.org/wiki/Titan_IIIC
USA,"SLC-36A, Cape Canaveral AFS, Florida, USA",1982,3,0,1982-03-05 00:23:00+00:00,Success,,General Dynamics,Atlas-SLV3D Centaur-D1AR,Atlas,Intelsat V -504,,StatusRetired,Retired,,2,0,,,,0.0,0.0,https://en.wikipedia.org/wiki/Atlas-Centaur
Russia,"Site 107/1, Kapustin Yar, Russia",1982,3,16,1982-03-04 16:41:00+00:00,Failure,,RVSN USSR,Cosmos-3M (11K65M),Cosmos,Ta??foun n†­27,,StatusRetired,Retired,1485,2,0,32.0,2.4,,1.5,0.0,https://en.wikipedia.org/wiki/Kosmos-3M
Russia,"Site 16/2, Plesetsk Cosmodrome, Russia",1982,3,5,1982-03-03 05:44:00+00:00,Success,,RVSN USSR,Molniya-M /Block 2BL,Molniya,Cosmos 1341,,StatusRetired,Retired,4016,3,4,43.4,,7.81,0.0,0.0,https://en.wikipedia.org/wiki/Molniya-M
Russia,"Site 41/1, Plesetsk Cosmodrome, Russia",1982,2,20,1982-02-26 20:10:00+00:00,Success,,RVSN USSR,Molniya-M /Block ML,Molniya,Molniya-1 n†­97,,StatusRetired,Retired,4016,3,4,43.4,,7.81,0.0,0.0,https://en.wikipedia.org/wiki/Molniya-M
Russia,"Site 16/2, Plesetsk Cosmodrome, Russia",1982,2,1,1982-02-19 01:42:00+00:00,Success,,RVSN USSR,Vostok-2M,Vostok,Cosmos 1340,,StatusRetired,Retired,,3,4,,,,0.0,0.0,https://en.wikipedia.org/wiki/Vostok-2M
Russia,"Site 132/2, Plesetsk Cosmodrome, Russia",1982,2,21,1982-02-17 21:56:00+00:00,Success,,RVSN USSR,Cosmos-3M (11K65M),Cosmos,Cosmos 1339,,StatusRetired,Retired,1485,2,0,32.0,2.4,,1.5,0.0,https://en.wikipedia.org/wiki/Kosmos-3M
Kazakhstan,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",1982,2,1,1982-02-11 01:11:00+00:00,Success,,RVSN USSR,Tsyklon-2,Tsyklon,Cosmos 1337,,StatusRetired,Retired,2640,3,0,,2.0,,2.82,0.0,https://en.wikipedia.org/wiki/Tsyklon-2
Russia,"Site 132/1, Plesetsk Cosmodrome, Russia",1982,1,11,1982-01-29 11:00:00+00:00,Success,,RVSN USSR,Cosmos-3M (11K65M),Cosmos,Cosmos 1335,,StatusRetired,Retired,1485,2,0,32.0,2.4,,1.5,0.0,https://en.wikipedia.org/wiki/Kosmos-3M
USA,"SLC-4W, Vandenberg AFB, California, USA",1982,1,19,1982-01-21 19:36:00+00:00,Success,,US Air Force,Titan III(24)B,Titan,OPS 2849,,StatusRetired,Retired,2410,3,0,50.0,3.05,,4.0,0.0,https://en.wikipedia.org/wiki/Titan_IIIB#Titan_24B
Russia,"Site 132/2, Plesetsk Cosmodrome, Russia",1982,1,7,1982-01-14 07:51:00+00:00,Success,,RVSN USSR,Cosmos-3M (11K65M),Cosmos,Cosmos 1333,,StatusRetired,Retired,1485,2,0,32.0,2.4,,1.5,0.0,https://en.wikipedia.org/wiki/Kosmos-3M
Russia,"Site 132/2, Plesetsk Cosmodrome, Russia",1982,1,15,1982-01-07 15:38:00+00:00,Success,,RVSN USSR,Cosmos-3M (11K65M),Cosmos,Cosmos 1331,,StatusRetired,Retired,1485,2,0,32.0,2.4,,1.5,0.0,https://en.wikipedia.org/wiki/Kosmos-3M
Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1981,12,13,1981-12-23 13:15:00+00:00,Success,,RVSN USSR,Molniya-M /Block ML,Molniya,Molniya-1 n†­96,,StatusRetired,Retired,4016,3,4,43.4,,7.81,0.0,0.0,https://en.wikipedia.org/wiki/Molniya-M
France,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",1981,12,1,1981-12-20 01:29:00+00:00,Success,,ESA,Ariane 1,Ariane,MARCES-1 & CAT-4,,StatusRetired,Retired,2772,4,0,50.0,,,1.4,1.85,https://en.wikipedia.org/wiki/Ariane_1
USA,"SLC-3E, Vandenberg AFB, California, USA",1981,12,1,1981-12-19 01:10:00+00:00,Failure,,General Dynamics,Atlas-E/F SGS-1,Atlas,GPS-7,,StatusRetired,Retired,,3,0,,,,0.0,0.0,https://en.wikipedia.org/wiki/Atlas_E/F#Atlas_E/F-SGS
Russia,"Site 132/2, Plesetsk Cosmodrome, Russia",1981,12,0,1981-12-17 00:00:00,Success,,RVSN USSR,Cosmos-3M (11K65M),Cosmos,Radio-Sputnik 3 to 8,,StatusRetired,Retired,1485,2,0,32.0,2.4,,1.5,0.0,https://en.wikipedia.org/wiki/Kosmos-3M
USA,"SLC-36B, Cape Canaveral AFS, Florida, USA",1981,12,23,1981-12-15 23:35:00+00:00,Success,,General Dynamics,Atlas-SLV3D Centaur-D1AR,Atlas,Intelsat V -503,,StatusRetired,Retired,,2,0,,,,0.0,0.0,https://en.wikipedia.org/wiki/Atlas-Centaur
Russia,"Site 132/1, Plesetsk Cosmodrome, Russia",1981,12,11,1981-12-04 11:06:00+00:00,Partial Failure,,RVSN USSR,Cosmos-3M (11K65M),Cosmos,Cosmos 1304,,StatusRetired,Retired,1485,2,0,32.0,2.4,,1.5,0.0,https://en.wikipedia.org/wiki/Kosmos-3M
Russia,"Site 32/1, Plesetsk Cosmodrome, Russia",1981,12,11,1981-12-03 11:47:00+00:00,Success,,RVSN USSR,Tsyklon-3,Tsyklon,Cosmos 1328,,StatusRetired,Retired,3032,3,0,39.0,,,4.1,0.0,https://en.wikipedia.org/wiki/Tsyklon-3
Russia,"Site 132/2, Plesetsk Cosmodrome, Russia",1981,11,18,1981-11-28 18:08:00+00:00,Success,,RVSN USSR,Cosmos-3M (11K65M),Cosmos,Cosmos 1320 to 1327,,StatusRetired,Retired,1485,2,0,32.0,2.4,,1.5,0.0,https://en.wikipedia.org/wiki/Kosmos-3M
Russia,"Site 107/1, Kapustin Yar, Russia",1981,11,0,1981-11-20 00:00:00,Success,,RVSN USSR,Cosmos-3M (11K65M),Cosmos,Bhaskara-2,,StatusRetired,Retired,1485,2,0,32.0,2.4,,1.5,0.0,https://en.wikipedia.org/wiki/Kosmos-3M
Russia,"Site 41/1, Plesetsk Cosmodrome, Russia",1981,11,15,1981-11-17 15:25:00+00:00,Success,,RVSN USSR,Molniya-M /Block ML,Molniya,Molniya-1 n†­95,,StatusRetired,Retired,4016,3,4,43.4,,7.81,0.0,0.0,https://en.wikipedia.org/wiki/Molniya-M
USA,"LC-39A, Kennedy Space Center, Florida, USA",1981,11,15,1981-11-12 15:09:00+00:00,Success,450.0 ,NASA,Space Shuttle Columbia,Space Shuttle,STS-2,450.0,StatusRetired,Retired,30250,2,2,56.1,,,27.5,3.81,https://en.wikipedia.org/wiki/Space_Shuttle_Columbia
Russia,"Site 16/2, Plesetsk Cosmodrome, Russia",1981,10,22,1981-10-31 22:53:00+00:00,Success,,RVSN USSR,Molniya-M /Block 2BL,Molniya,Cosmos 1317,,StatusRetired,Retired,4016,3,4,43.4,,7.81,0.0,0.0,https://en.wikipedia.org/wiki/Molniya-M
USA,"SLC-40, Cape Canaveral AFS, Florida, USA",1981,10,9,1981-10-31 09:22:00+00:00,Success,,Martin Marietta,Titan III(23)C,Titan,OPS-4029 (Vortex),,StatusRetired,Retired,13642,3,2,42.0,3.0,,13.1,3.0,https://en.wikipedia.org/wiki/Titan_IIIC
Russia,"Site 41/1, Plesetsk Cosmodrome, Russia",1981,10,5,1981-10-17 05:59:00+00:00,Success,,RVSN USSR,Molniya-M /Block ML,Molniya,Molniya-3 n†­94,,StatusRetired,Retired,4016,3,4,43.4,,7.81,0.0,0.0,https://en.wikipedia.org/wiki/Molniya-M
Russia,"Site 43/3, Plesetsk Cosmodrome, Russia",1981,10,23,1981-10-13 23:01:00+00:00,Success,,RVSN USSR,Vostok-2M,Vostok,Cosmos 1315,,StatusRetired,Retired,,3,4,,,,0.0,0.0,https://en.wikipedia.org/wiki/Vostok-2M
Russia,"Site 32/1, Plesetsk Cosmodrome, Russia",1981,9,8,1981-09-30 08:00:00+00:00,Success,,RVSN USSR,Tsyklon-3,Tsyklon,Cosmos 1312,,StatusRetired,Retired,3032,3,0,39.0,,,4.1,0.0,https://en.wikipedia.org/wiki/Tsyklon-3
Russia,"Site 132/2, Plesetsk Cosmodrome, Russia",1981,9,21,1981-09-28 21:00:00+00:00,Success,,RVSN USSR,Cosmos-3M (11K65M),Cosmos,Cosmos 1311,,StatusRetired,Retired,1485,2,0,32.0,2.4,,1.5,0.0,https://en.wikipedia.org/wiki/Kosmos-3M
Russia,"Site 132/2, Plesetsk Cosmodrome, Russia",1981,9,8,1981-09-23 08:00:00+00:00,Success,,RVSN USSR,Cosmos-3M (11K65M),Cosmos,Cosmos 1310,,StatusRetired,Retired,1485,2,0,32.0,2.4,,1.5,0.0,https://en.wikipedia.org/wiki/Kosmos-3M
Russia,"Site 32/1, Plesetsk Cosmodrome, Russia",1981,9,0,1981-09-21 00:00:00,Success,,RVSN USSR,Tsyklon-3,Tsyklon,Aureole 3,,StatusRetired,Retired,3032,3,0,39.0,,,4.1,0.0,https://en.wikipedia.org/wiki/Tsyklon-3
China,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",1981,9,21,1981-09-19 21:28:00+00:00,Success,,CASC,Feng Bao 1,Feng Bao,Shijian 2,,StatusRetired,Retired,268,2,0,33.0,3.35,,2.5,0.0,https://en.wikipedia.org/wiki/Feng_Bao_1
Russia,"Site 132/1, Plesetsk Cosmodrome, Russia",1981,9,3,1981-09-18 03:34:00+00:00,Success,,RVSN USSR,Cosmos-3M (11K65M),Cosmos,Cosmos 1308,,StatusRetired,Retired,1485,2,0,32.0,2.4,,1.5,0.0,https://en.wikipedia.org/wiki/Kosmos-3M
Kazakhstan,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",1981,9,20,1981-09-14 20:31:00+00:00,Success,,RVSN USSR,Tsyklon-2,Tsyklon,Cosmos 1306,,StatusRetired,Retired,2640,3,0,,2.0,,2.82,0.0,https://en.wikipedia.org/wiki/Tsyklon-2
Russia,"Site 43/3, Plesetsk Cosmodrome, Russia",1981,9,8,1981-09-11 08:43:00+00:00,Partial Failure,,RVSN USSR,Molniya-M /Block ML,Molniya,Cosmos 1305,,StatusRetired,Retired,4016,3,4,43.4,,7.81,0.0,0.0,https://en.wikipedia.org/wiki/Molniya-M
USA,"SLC-4E, Vandenberg AFB, California, USA",1981,9,18,1981-09-03 18:29:00+00:00,Success,,Martin Marietta,Titan IIID,Titan,KH-11,,StatusRetired,Retired,10587,2,2,36.0,,,12.3,0.0,https://en.wikipedia.org/wiki/Titan_IIID
Russia,"Site 132/1, Plesetsk Cosmodrome, Russia",1981,8,16,1981-08-28 16:18:00+00:00,Success,,RVSN USSR,Cosmos-3M (11K65M),Cosmos,Cosmos 1302,,StatusRetired,Retired,1485,2,0,32.0,2.4,,1.5,0.0,https://en.wikipedia.org/wiki/Kosmos-3M
Russia,"Site 32/1, Plesetsk Cosmodrome, Russia",1981,8,21,1981-08-24 21:40:00+00:00,Success,,RVSN USSR,Tsyklon-3,Tsyklon,Cosmos 1300,,StatusRetired,Retired,3032,3,0,39.0,,,4.1,0.0,https://en.wikipedia.org/wiki/Tsyklon-3
Kazakhstan,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",1981,8,16,1981-08-24 16:37:00+00:00,Success,,RVSN USSR,Tsyklon-2,Tsyklon,Cosmos 1299,,StatusRetired,Retired,2640,3,0,,2.0,,2.82,0.0,https://en.wikipedia.org/wiki/Tsyklon-2
Russia,"Site 132/2, Plesetsk Cosmodrome, Russia",1981,8,5,1981-08-12 05:46:00+00:00,Success,,RVSN USSR,Cosmos-3M (11K65M),Cosmos,Cosmos 1295,,StatusRetired,Retired,1485,2,0,32.0,2.4,,1.5,0.0,https://en.wikipedia.org/wiki/Kosmos-3M
Japan,"LA-Y1, Tanegashima Space Center, Japan",1981,8,20,1981-08-10 20:03:00+00:00,Success,,MHI,N-II Star-37E,N,Himawari 2,,StatusRetired,Retired,,3,9,35.0,,,2.0,0.73,https://en.wikipedia.org/wiki/N-II_(rocket)
Russia,"Site 43/3, Plesetsk Cosmodrome, Russia",1981,8,0,1981-08-07 00:00:00,Success,,RVSN USSR,Vostok-2M,Vostok,Intercosmos 22,,StatusRetired,Retired,,3,4,,,,0.0,0.0,https://en.wikipedia.org/wiki/Vostok-2M
Russia,"Site 132/2, Plesetsk Cosmodrome, Russia",1981,8,11,1981-08-06 11:49:00+00:00,Success,,RVSN USSR,Cosmos-3M (11K65M),Cosmos,Cosmos 1287 to 1294,,StatusRetired,Retired,1485,2,0,32.0,2.4,,1.5,0.0,https://en.wikipedia.org/wiki/Kosmos-3M
USA,"SLC-36A, Cape Canaveral AFS, Florida, USA",1981,8,8,1981-08-06 08:16:00+00:00,Partial Failure,,General Dynamics,Atlas-SLV3D Centaur-D1AR,Atlas,FLTSATCOM-5,,StatusRetired,Retired,,2,0,,,,0.0,0.0,https://en.wikipedia.org/wiki/Atlas-Centaur
Kazakhstan,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",1981,8,8,1981-08-04 08:28:00+00:00,Success,,RVSN USSR,Tsyklon-2,Tsyklon,Cosmos 1286,,StatusRetired,Retired,2640,3,0,,2.0,,2.82,0.0,https://en.wikipedia.org/wiki/Tsyklon-2
Russia,"Site 16/2, Plesetsk Cosmodrome, Russia",1981,8,0,1981-08-04 00:12:00+00:00,Success,,RVSN USSR,Molniya-M /Block 2BL,Molniya,Cosmos 1285,,StatusRetired,Retired,4016,3,4,43.4,,7.81,0.0,0.0,https://en.wikipedia.org/wiki/Molniya-M
Kazakhstan,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1981,7,5,1981-07-10 05:14:00+00:00,Success,,RVSN USSR,Vostok-2M,Vostok,Meteor-Priroda n†­5 & Iskra 1,,StatusRetired,Retired,,3,4,,,,0.0,0.0,https://en.wikipedia.org/wiki/Vostok-2M
Russia,"Site 43/3, Plesetsk Cosmodrome, Russia",1981,6,17,1981-06-24 17:47:00+00:00,Success,,RVSN USSR,Molniya-M /Block ML,Molniya,Molniya-1 n†­92,,StatusRetired,Retired,4016,3,4,43.4,,7.81,0.0,0.0,https://en.wikipedia.org/wiki/Molniya-M
USA,"SLC-3W, Vandenberg AFB, California, USA",1981,6,10,1981-06-23 10:52:00+00:00,Success,,General Dynamics,Atlas-E/F Star-37S-ISS,Atlas,NOAA-C,,StatusRetired,Retired,,2,0,,,,0.0,0.0,https://en.wikipedia.org/wiki/Atlas_E/F#Atlas_E/F-Star
Russia,"Site 43/3, Plesetsk Cosmodrome, Russia",1981,6,19,1981-06-19 19:37:00+00:00,Success,,RVSN USSR,Molniya-M /Block 2BL,Molniya,Cosmos 1278,,StatusRetired,Retired,4016,3,4,43.4,,7.81,0.0,0.0,https://en.wikipedia.org/wiki/Molniya-M
France,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",1981,6,12,1981-06-19 12:33:00+00:00,Success,,ESA,Ariane 1,Ariane,CAT-3 & Others,,StatusRetired,Retired,2772,4,0,50.0,,,1.4,1.85,https://en.wikipedia.org/wiki/Ariane_1
Russia,"Site 41/1, Plesetsk Cosmodrome, Russia",1981,6,3,1981-06-09 03:33:00+00:00,Success,,RVSN USSR,Molniya-M /Block ML,Molniya,Molniya-3 n†­91,,StatusRetired,Retired,4016,3,4,43.4,,7.81,0.0,0.0,https://en.wikipedia.org/wiki/Molniya-M
Russia,"Site 132/2, Plesetsk Cosmodrome, Russia",1981,6,15,1981-06-04 15:41:00+00:00,Success,,RVSN USSR,Cosmos-3M (11K65M),Cosmos,Cosmos 1275,,StatusRetired,Retired,1485,2,0,32.0,2.4,,1.5,0.0,https://en.wikipedia.org/wiki/Kosmos-3M
India,"SLV LP, Satish Dhawan Space Centre, India",1981,5,5,1981-05-31 05:00:00+00:00,Partial Failure,,ISRO,SLV-3,SLV,Rohini RS-D1,,StatusRetired,Retired,503,4,0,22.0,1.0,,0.04,0.0,https://en.wikipedia.org/wiki/Satellite_Launch_Vehicle
USA,"SLC-36B, Cape Canaveral AFS, Florida, USA",1981,5,22,1981-05-23 22:42:00+00:00,Success,,General Dynamics,Atlas-SLV3D Centaur-D1AR,Atlas,Intelsat V -501,,StatusRetired,Retired,,2,0,,,,0.0,0.0,https://en.wikipedia.org/wiki/Atlas-Centaur
Russia,"Site 43/3, Plesetsk Cosmodrome, Russia",1981,5,3,1981-05-19 03:49:00+00:00,Success,,RVSN USSR,Vostok-2M,Vostok,Cosmos 1271,,StatusRetired,Retired,,3,4,,,,0.0,0.0,https://en.wikipedia.org/wiki/Vostok-2M
Russia,"Site 43/3, Plesetsk Cosmodrome, Russia",1981,5,21,1981-05-14 21:45:00+00:00,Success,,RVSN USSR,Vostok-2M,Vostok,Meteor-2 n†­8,,StatusRetired,Retired,,3,4,,,,0.0,0.0,https://en.wikipedia.org/wiki/Vostok-2M
Russia,"Site 132/1, Plesetsk Cosmodrome, Russia",1981,5,13,1981-05-07 13:21:00+00:00,Success,,RVSN USSR,Cosmos-3M (11K65M),Cosmos,Cosmos 1269,,StatusRetired,Retired,1485,2,0,32.0,2.4,,1.5,0.0,https://en.wikipedia.org/wiki/Kosmos-3M
USA,"SLC-4W, Vandenberg AFB, California, USA",1981,4,21,1981-04-24 21:32:00+00:00,Success,,Martin Marietta,Titan III(34)B Agena-D,Titan,Jumpseat 6,,StatusRetired,Retired,2300,3,nan,45.0,3.05,,0.0,0.0,https://en.wikipedia.org/wiki/Titan_IIIB#Titan_34B
USA,"LC-39A, Kennedy Space Center, Florida, USA",1981,4,12,1981-04-12 12:00:00+00:00,Success,450.0 ,NASA,Space Shuttle Columbia,Space Shuttle,STS-1,450.0,StatusRetired,Retired,30250,2,2,56.1,,,27.5,3.81,https://en.wikipedia.org/wiki/Space_Shuttle_Columbia
Russia,"Site 132/1, Plesetsk Cosmodrome, Russia",1981,4,12,1981-04-09 12:00:00+00:00,Success,,RVSN USSR,Cosmos-3M (11K65M),Cosmos,Cosmos 1263,,StatusRetired,Retired,1485,2,0,32.0,2.4,,1.5,0.0,https://en.wikipedia.org/wiki/Kosmos-3M
Russia,"Site 41/1, Plesetsk Cosmodrome, Russia",1981,3,9,1981-03-31 09:39:00+00:00,Success,,RVSN USSR,Molniya-M /Block 2BL,Molniya,Cosmos 1261,,StatusRetired,Retired,4016,3,4,43.4,,7.81,0.0,0.0,https://en.wikipedia.org/wiki/Molniya-M
Russia,"Site 41/1, Plesetsk Cosmodrome, Russia",1981,3,3,1981-03-24 03:31:00+00:00,Success,,RVSN USSR,Molniya-M /Block ML,Molniya,Molniya-3 n†­90,,StatusRetired,Retired,4016,3,4,43.4,,7.81,0.0,0.0,https://en.wikipedia.org/wiki/Molniya-M
Kazakhstan,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",1981,3,3,1981-03-21 03:45:00+00:00,Success,,RVSN USSR,Tsyklon-2,Tsyklon,Cosmos 1266,,StatusRetired,Retired,2640,3,0,,2.0,,2.82,0.0,https://en.wikipedia.org/wiki/Tsyklon-2
Kazakhstan,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",1981,3,23,1981-03-20 23:45:00+00:00,Success,,RVSN USSR,Tsyklon-2,Tsyklon,Cosmos 1260,,StatusRetired,Retired,2640,3,0,,2.0,,2.82,0.0,https://en.wikipedia.org/wiki/Tsyklon-2
USA,"SLC-40, Cape Canaveral AFS, Florida, USA",1981,3,13,1981-03-16 13:30:00+00:00,Success,,Martin Marietta,Titan III(23)C,Titan,DSP-9,,StatusRetired,Retired,13642,3,2,42.0,3.0,,13.1,3.0,https://en.wikipedia.org/wiki/Titan_IIIC
Kazakhstan,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",1981,3,16,1981-03-14 16:55:00+00:00,Success,,RVSN USSR,Tsyklon-2,Tsyklon,Cosmos 1258,,StatusRetired,Retired,2640,3,0,,2.0,,2.82,0.0,https://en.wikipedia.org/wiki/Tsyklon-2
Russia,"Site 132/2, Plesetsk Cosmodrome, Russia",1981,3,11,1981-03-06 11:31:00+00:00,Success,,RVSN USSR,Cosmos-3M (11K65M),Cosmos,Cosmos 1250 to 1257,,StatusRetired,Retired,1485,2,0,32.0,2.4,,1.5,0.0,https://en.wikipedia.org/wiki/Kosmos-3M
Kazakhstan,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",1981,3,18,1981-03-05 18:09:00+00:00,Success,,RVSN USSR,Tsyklon-2,Tsyklon,Cosmos 1249,,StatusRetired,Retired,2640,3,0,,2.0,,2.82,0.0,https://en.wikipedia.org/wiki/Tsyklon-2
USA,"SLC-4W, Vandenberg AFB, California, USA",1981,2,19,1981-02-28 19:15:00+00:00,Success,,US Air Force,Titan III(24)B,Titan,OPS 1166,,StatusRetired,Retired,2410,3,0,50.0,3.05,,4.0,0.0,https://en.wikipedia.org/wiki/Titan_IIIB#Titan_24B
USA,"SLC-36A, Cape Canaveral AFS, Florida, USA",1981,2,23,1981-02-21 23:23:00+00:00,Success,,General Dynamics,Atlas-SLV3D Centaur-D1AR,Atlas,Comstar D4,,StatusRetired,Retired,,2,0,,,,0.0,0.0,https://en.wikipedia.org/wiki/Atlas-Centaur
Japan,"Mu Pad, Uchinoura Space Center, Japan",1981,2,0,1981-02-21 00:30:00+00:00,Success,,ISAS,Mu-III S,Mu,Hinotori,,StatusRetired,Retired,,3,8,,,,0.29,0.0,https://en.wikipedia.org/wiki/Mu_(rocket_family)
Russia,"Site 16/2, Plesetsk Cosmodrome, Russia",1981,2,10,1981-02-19 10:00:00+00:00,Success,,RVSN USSR,Molniya-M /Block 2BL,Molniya,Cosmos 1247,,StatusRetired,Retired,4016,3,4,43.4,,7.81,0.0,0.0,https://en.wikipedia.org/wiki/Molniya-M
Russia,"Site 132/1, Plesetsk Cosmodrome, Russia",1981,2,18,1981-02-12 18:21:00+00:00,Success,,RVSN USSR,Cosmos-3M (11K65M),Cosmos,Cosmos 1244,,StatusRetired,Retired,1485,2,0,32.0,2.4,,1.5,0.0,https://en.wikipedia.org/wiki/Kosmos-3M
Japan,"LA-Y1, Tanegashima Space Center, Japan",1981,2,8,1981-02-11 08:30:00+00:00,Success,,MHI,N-II Star-37E,N,Kiku 3,,StatusRetired,Retired,,3,9,35.0,,,2.0,0.73,https://en.wikipedia.org/wiki/N-II_(rocket)
Russia,"Site 132/1, Plesetsk Cosmodrome, Russia",1981,2,0,1981-02-06 00:00:00,Success,,RVSN USSR,Cosmos-3M (11K65M),Cosmos,Intercosmos 21,,StatusRetired,Retired,1485,2,0,32.0,2.4,,1.5,0.0,https://en.wikipedia.org/wiki/Kosmos-3M
Kazakhstan,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",1981,2,2,1981-02-02 02:19:00+00:00,Success,,RVSN USSR,Tsyklon-2,Tsyklon,Cosmos 1243,,StatusRetired,Retired,2640,3,0,,2.0,,2.82,0.0,https://en.wikipedia.org/wiki/Tsyklon-2
Russia,"Site 43/3, Plesetsk Cosmodrome, Russia",1981,1,16,1981-01-30 16:27:00+00:00,Success,,RVSN USSR,Molniya-M /Block ML,Molniya,Molniya-1 n†­89,,StatusRetired,Retired,4016,3,4,43.4,,7.81,0.0,0.0,https://en.wikipedia.org/wiki/Molniya-M
Russia,"Site 43/3, Plesetsk Cosmodrome, Russia",1981,1,14,1981-01-27 14:58:00+00:00,Success,,RVSN USSR,Vostok-2M,Vostok,Cosmos 1242,,StatusRetired,Retired,,3,4,,,,0.0,0.0,https://en.wikipedia.org/wiki/Vostok-2M
Russia,"Site 32/1, Plesetsk Cosmodrome, Russia",1981,1,11,1981-01-23 11:20:00+00:00,Failure,,RVSN USSR,Tsyklon-3,Tsyklon,Cosmos 1242,,StatusRetired,Retired,3032,3,0,39.0,,,4.1,0.0,https://en.wikipedia.org/wiki/Tsyklon-3
Russia,"Site 132/1, Plesetsk Cosmodrome, Russia",1981,1,8,1981-01-21 08:29:00+00:00,Success,,RVSN USSR,Cosmos-3M (11K65M),Cosmos,Cosmos 1241,,StatusRetired,Retired,1485,2,0,32.0,2.4,,1.5,0.0,https://en.wikipedia.org/wiki/Kosmos-3M
Russia,"Site 132/1, Plesetsk Cosmodrome, Russia",1981,1,9,1981-01-16 09:00:00+00:00,Success,,RVSN USSR,Cosmos-3M (11K65M),Cosmos,Cosmos 1238,,StatusRetired,Retired,1485,2,0,32.0,2.4,,1.5,0.0,https://en.wikipedia.org/wiki/Kosmos-3M
Russia,"Site 41/1, Plesetsk Cosmodrome, Russia",1981,1,14,1981-01-09 14:57:00+00:00,Success,,RVSN USSR,Molniya-M /Block ML,Molniya,Molniya-3 n†­88,,StatusRetired,Retired,4016,3,4,43.4,,7.81,0.0,0.0,https://en.wikipedia.org/wiki/Molniya-M
Kazakhstan,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1980,12,0,1980-12-25 00:00:00,Success,,RVSN USSR,Molniya-M /Block SO-L,Molniya,Prognoz n†­8,,StatusRetired,Retired,4016,3,4,43.4,,7.81,0.0,0.0,https://en.wikipedia.org/wiki/Molniya-M
Russia,"Site 132/1, Plesetsk Cosmodrome, Russia",1980,12,22,1980-12-23 22:48:00+00:00,Partial Failure,,RVSN USSR,Cosmos-3M (11K65M),Cosmos,Cosmos 1228 to 1235,,StatusRetired,Retired,1485,2,0,32.0,2.4,,1.5,0.0,https://en.wikipedia.org/wiki/Kosmos-3M
